FAIRHAVEN,BRIERCLIFF,,07/10/14,3,
NEW BEDFORD,24 COVE,,07/10/14,3,
NEW BEDFORD,49 MACARTHUR,,07/10/14,3,
NEW BEDFORD,83 RUTH,,07/10/14,3,
NEW BEDFORD,SALISBURY,,07/10/14,3,
NEW BEDFORD,SOUTH,,07/10/14,3,
SOMERVILLE,57 UPLAND,,07/10/14,3,
WORCESTER,193 VERNON,,07/10/14,3,
WORCESTER,212 VERNON,,07/10/14,3,
DARTMOUTH,GULF,@ MEADOWOOD DRIVE,07/09/14,3,
NEW BEDFORD,COUNTY,,07/09/14,3,
NEW BEDFORD,46 DELANO,,07/09/14,3,
NEW BEDFORD,DELANO,,07/09/14,3,
NEW BEDFORD,W-RODNEY-FRENCH,,07/09/14,3,
PLYMOUTH,74 GARRETT,,07/09/14,3,
SOMERVILLE,384 HIGHLAND,,07/09/14,3,
WORCESTER,25 ACTON,,07/09/14,3,
WORCESTER,LOUISE,@ ROSE STREET,07/09/14,3,
CAMBRIDGE,810 MAIN,,07/08/14,3,
MAYNARD,OPP 143 MAIN,,07/08/14,3,
MAYNARD,5 PARMENTER,,07/08/14,3,
NEW BEDFORD,981 LLOYD,,07/08/14,3,
NEW BEDFORD,21 MOSHER,,07/08/14,3,
NEW BEDFORD,665 ORCHARD,,07/08/14,3,
NEW BEDFORD,ORCHARD,,07/08/14,3,
NEW BEDFORD,187 OSBORNE,,07/08/14,3,
NEW BEDFORD,ROCKDALE,,07/08/14,3,
SHREWSBURY,19 JORDAN,,07/08/14,3,
NATICK,1 WORCESTER,,07/07/14,3,
NEW BEDFORD,BANK,@ ROCKDALE AVENUE,07/07/14,3,
NEW BEDFORD,ROCKDALE,,07/07/14,3,
NEW BEDFORD,ROCKDALE,,07/07/14,3,
NEW BEDFORD,34 STACKHOUSE,,07/07/14,3,
NEW BEDFORD,39 STEPHEN,,07/07/14,3,
NEW BEDFORD,48 STEPHEN,,07/07/14,3,
SOMERVILLE,29 HALL,,07/07/14,3,
SHREWSBURY,10 ANGELA,,07/06/14,3,
SHREWSBURY,40 MAURY,,07/06/14,3,
SHREWSBURY,PAL,@ ANGELA DRIVE,07/06/14,3,
SHREWSBURY,190 S-QUINSIGAMOND,,07/06/14,3,
DEDHAM,28 DRESSER,,07/03/14,3,
KINGSTON,2 LEE,,07/03/14,3,
KINGSTON,164 MAIN,,07/03/14,3,
KINGSTON,96 MAIN,,07/03/14,3,
KINGSTON,2 PEARL,,07/03/14,3,
KINGSTON,172 PEMBROKE,,07/03/14,3,
KINGSTON,25 RIVERSIDE,,07/03/14,3,
KINGSTON,157 SUMMER,,07/03/14,3,
KINGSTON,161 SUMMER,,07/03/14,3,
KINGSTON,74-78 SUMMER,,07/03/14,3,
