ADDRESS,TOWN,INTERSECTION,ZIP,LAT,LNG,ADDRESS_TYPES,CLASSIFIED,GRADE
188 HUTTLESTON,FAIRHAVEN,,,,,,8/26/14,3
68 OCEAN,FAIRHAVEN,,,,,,8/26/14,3
17 BLAINE,HUDSON,,,,,,8/26/14,3
2 COOLIDGE,HUDSON,,,,,,8/26/14,3
69 FLORENCE,HUDSON,,,,,,8/26/14,3
PACKARD,HUDSON,,,,,,8/26/14,3
9 ACUSHNET,MATTAPOISETT,,,,,,8/26/14,3
37-39 WATER,MATTAPOISETT,,,,,,8/26/14,3
40 WATER,MATTAPOISETT,,,,,,8/26/14,3
3650 ACUSHNET,NEW BEDFORD,,,,,,8/26/14,3
3678 ACUSHNET,NEW BEDFORD,,,,,,8/26/14,3
3762 ACUSHNET,NEW BEDFORD,,,,,,8/26/14,3
3770 ACUSHNET,NEW BEDFORD,,,,,,8/26/14,3
4 BECKMAN,WORCESTER,,,,,,8/26/14,3
6 BECKMAN,WORCESTER,,,,,,8/26/14,3
101 BEECHING,WORCESTER,,,,,,8/26/14,3
97 BEECHING,WORCESTER,,,,,,8/26/14,3
99 BEECHING,WORCESTER,,,,,,8/26/14,3
BEECHMONT,WORCESTER,,,,,,8/26/14,3
BEECHMONT,WORCESTER,,,,,,8/26/14,3
28 BELLINGHAM,WORCESTER,,,,,,8/26/14,3
8 BENEDICT,WORCESTER,,,,,,8/26/14,3
9 BENEDICT,WORCESTER,,,,,,8/26/14,3
233 BEVERLY,WORCESTER,,,,,,8/26/14,3
70 BEVERLY,WORCESTER,,,,,,8/26/14,3
133-135 UNCATENA,WORCESTER,,,,,,8/26/14,3
3 UNCATENA,WORCESTER,,,,,,8/26/14,3
51 UNCATENA,WORCESTER,,,,,,8/26/14,3
26 BRIDGE,DARTMOUTH,,,,,,8/25/14,3
20 SCHOOL,DARTMOUTH,,,,,,8/25/14,3
SCHOOL,DARTMOUTH,@ HIGH STREET,,,,,8/25/14,3
10 WATER,DARTMOUTH,,,,,,8/25/14,3
124 GAINSVILLE,DEDHAM,,,,,,8/25/14,3
24 HOLIDAY,FAIRHAVEN,,,,,,8/25/14,3
SCONTICUT-NECK,FAIRHAVEN,,,,,,8/25/14,3
14 SEAVIEW,FAIRHAVEN,,,,,,8/25/14,3
15 SEAVIEW,FAIRHAVEN,,,,,,8/25/14,3
23 SEAVIEW,FAIRHAVEN,,,,,,8/25/14,3
34 SEAVIEW,FAIRHAVEN,,,,,,8/25/14,3
38 SEAVIEW,FAIRHAVEN,,,,,,8/25/14,3
111 BRIGHAM,HUDSON,,,,,,8/25/14,3
213 WASHINGTON,HUDSON,,,,,,8/25/14,3
234 WASHINGTON,HUDSON,,,,,,8/25/14,3
WASHINGTON,HUDSON,,,,,,8/25/14,3
WASHINGTON,HUDSON,,,,,,8/25/14,3
121 HOLLINGSWORTH,MATTAPAN,,,,,,8/25/14,3
140-142 HOLLINGSWORTH,MATTAPAN,,,,,,8/25/14,3
4586 ACUSHNET,NEW BEDFORD,,,,,,8/25/14,3
49 GREEN-HILL,WORCESTER,,,,,,8/25/14,3
TACOMA,WORCESTER,,,,,,8/25/14,3
32 CLIFFORD,ACUSHNET,,,,,,8/22/14,3
CONDUIT,ACUSHNET,,,,,,8/22/14,3
42 LAURA-KEENE,ACUSHNET,,,,,,8/22/14,3
134 LAWSON,ACUSHNET,,,,,,8/22/14,3
12 WOOBLEY,BOLTON,,,,,,8/22/14,3
50 SHREWSBURY,BOYLSTON,,,,,,8/22/14,3
AVON HILL,CAMBRIDGE,@ BATES STREET,,,,,8/22/14,2
25 FAIRFIELD,CAMBRIDGE,,,,,,8/22/14,3
55 PEMBERTON,CAMBRIDGE,,,,,,8/22/14,3
24 FAIR-OAK,DEDHAM,,,,,,8/22/14,3
24 FAIR-OAK,DEDHAM,,,,,,8/22/14,3
MECHANIC,HOPKINTON,,,,,,8/22/14,3
ROBBERN,HOPKINTON,,,,,,8/22/14,3
5 SPRING,HOPKINTON,,,,,,8/22/14,3
12 TREVOR,HOPKINTON,,,,,,8/22/14,3
2 TREVOR,HOPKINTON,,,,,,8/22/14,3
26 TREVOR,HOPKINTON,,,,,,8/22/14,3
319 WOOD,HOPKINTON,,,,,,8/22/14,3
30 EATON,HUDSON,,,,,,8/22/14,3
40 EATON,HUDSON,,,,,,8/22/14,3
44 EATON,HUDSON,,,,,,8/22/14,3
26 STRATTON,HUDSON,,,,,,8/22/14,3
13 AUCOOT,MATTAPOISETT,,,,,,8/22/14,3
6 AUCOOT,MATTAPOISETT,,,,,,8/22/14,3
7 AUCOOT,MATTAPOISETT,,,,,,8/22/14,3
AUCOOT,MATTAPOISETT,,,,,,8/22/14,3
AUCOOT,MATTAPOISETT,,,,,,8/22/14,3
AUCOOT,MATTAPOISETT,,,,,,8/22/14,3
AUCOOT,MATTAPOISETT,,,,,,8/22/14,3
AUCOOT,MATTAPOISETT,,,,,,8/22/14,3
AUCOOT,MATTAPOISETT,,,,,,8/22/14,3
AUCOOT,MATTAPOISETT,,,,,,8/22/14,3
AUCOOT,MATTAPOISETT,,,,,,8/22/14,3
AUCOOT,MATTAPOISETT,,,,,,8/22/14,3
AUCOOT,MATTAPOISETT,,,,,,8/22/14,3
AUCOOT,MATTAPOISETT,,,,,,8/22/14,3
41 CONWELL,SOMERVILLE,,,,,,8/22/14,3
79 FAIRFAX,SOMERVILLE,,,,,,8/22/14,3
1 FRANCIS,CAMBRIDGE,,,,,,8/21/14,3
45 FRANCIS,CAMBRIDGE,,,,,,8/21/14,3
54 FRESH-POND,CAMBRIDGE,,,,,,8/21/14,3
63 FRESH-POND,CAMBRIDGE,,,,,,8/21/14,3
32 BUSH,DARTMOUTH,,,,,,8/21/14,3
BUSH,DARTMOUTH,@ THATCHER STREET,,,,,8/21/14,3
BUSH,DARTMOUTH,@ COOKIE WAY,,,,,8/21/14,3
1145 EAST,DEDHAM,,,,,,8/21/14,3
19 GILBERT,FAIRHAVEN,,,,,,8/21/14,3
65 RAYMOND,FAIRHAVEN,,,,,,8/21/14,3
RAYMOND,FAIRHAVEN,@ SCONTICUT NECK ROAD,,,,,8/21/14,3
RAYMOND,FAIRHAVEN,@ 335 SCONICUT NECK ROAD,,,,,8/21/14,3
14 RESERVATION,FAIRHAVEN,,,,,,8/21/14,3
SCONTICUT-NECK,FAIRHAVEN,,,,,,8/21/14,3
28 SMITH,FAIRHAVEN,,,,,,8/21/14,3
