ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
42594 TREVOR,HOPKINTON,,11/5/14,2
129 WOOD,HOPKINTON,,12/4/14,2
WOOD,HOPKINTON,,12/4/14,2
42529 RYEGRASS,HOPKINTON,,12/18/14,1
28 CEDAR,HOPKINTON,,12/20/14,2
158 HAYDEN ROWE,HOPKINTON,,12/29/14,2
12 FLORENCE,HUDSON,,1/11/14,1
40-46 MICHIGAN,HUDSON,,1/18/14,1
40-46 MICHIGAN,HUDSON,,1/21/14,2
322 CENTRAL,HUDSON,,1/21/14,1
11R LINCOLN,HUDSON,,1/28/14,1
11R SCHOOL,HUDSON,,1/29/14,2
CAUSEWAY,HUDSON,,1/30/14,2
23 CHAMPLAIN,HUDSON,,2/10/14,2
17 HURON,HUDSON,,2/25/14,2
49 ONTARIO,HUDSON,,2/24/14,1
ONTARIO,HUDSON,AT SARATOGA DR,2/24/14,1
6 NIXON,HUDSON,,2/24/14,1
14 HOUGHTON,HUDSON,,3/6/14,1
11 CAYUGA,HUDSON,,3/24/14,2
11 RICHARDSON,HUDSON,,3/26/14,2
12 RICHARDSON,HUDSON,,3/27/14,2
12 CAYUGA,HUDSON,,4/2/14,2
106 RIVER,HUDSON,,4/7/14,1
26 STRATTON,HUDSON,,4/9/14,2
5 PARMENTER,HUDSON,,4/16/14,1
560 MAIN,HUDSON,,5/5/14,1
66 OLD-BOLTON,HUDSON,,5/7/14,1
310 COX,HUDSON,,5/12/14,1
12 BARRETTS,HUDSON,,6/2/14,1
1 WALCOTT,HUDSON,,7/27/14,2
46-48 COTTAGE,HUDSON,,7/30/14,1
49 MAIN,HUDSON,,8/2/14,1
460-462 MAIN,HUDSON,,8/7/14,2
31 BROOK,HUDSON,,8/6/14,2
FOREST,HUDSON,AT WILKINS ST,8/25/14,2
59 OLD-BOLTON,HUDSON,,9/16/14,1
38 STEVENS,HUDSON,,9/17/14,1
77 FORT-MEADOW,HUDSON,,9/25/14,2
59 OLD-BOLTON,HUDSON,,10/6/14,2
42624 DOVER,HUDSON,,10/9/14,2
19 ONTARIO,HUDSON,,10/9/14,2
11 RIVERVIEW,HUDSON,,10/13/14,1
36 STEVENS,HUDSON,,10/14/14,1
6 RICE,HUDSON,,11/5/14,1
98 CENTRAL,HUDSON,,11/15/14,2
9 DOVER,HUDSON,,11/23/14,1
1 SANTOS,HUDSON,,12/3/14,1
HIGHLAND PARK,HUDSON,,12/3/14,1
RIVER,HUDSON,AT FOUR BRIDGES RD,12/27/14,2
107 WILLIAM,HYDE PARK,,1/9/14,2
94 ARLINGTON,HYDE PARK,,1/16/14,2
59-61 BEECHMONT,HYDE PARK,,1/17/14,3
59-61 BEECHMONT,HYDE PARK,,1/17/14,2
2 MEADOWVIEW,HYDE PARK,,1/18/14,1
31 COMO,HYDE PARK,,1/20/14,1
37 READVILLE,HYDE PARK,,1/27/14,2
18 HALSEY,HYDE PARK,,1/28/14,1
READVILLE,HYDE PARK,AT NEPONSET CALLEY PKY,1/30/14,2
118 HIGHLAND,HYDE PARK,,1/30/14,1
31 WILLIAM,HYDE PARK,,2/4/14,2
96 WILLOW,HYDE PARK,,2/6/14,2
53 BEACON,HYDE PARK,,2/10/14,1
21 BUCKINGHAM,HYDE PARK,,2/11/14,1
1284 HYDE-PARK,HYDE PARK,,2/23/14,1
24-26 SILVIA,HYDE PARK,,2/25/14,2
6 MAPLE,HYDE PARK,,2/17/14,1
19 PERKINS,HYDE PARK,,2/19/14,1
42 CLEVELAND,HYDE PARK,,2/21/14,1
42560 ROXANNA,HYDE PARK,,2/24/14,2
56 W-MILTON,HYDE PARK,,2/24/14,2
131 READVILLE,HYDE PARK,,2/25/14,2
228 NEPONSET-VLY,HYDE PARK,,3/14/14,1
20 HILLIS,HYDE PARK,,3/14/14,1
83 WOOD,HYDE PARK,,3/19/14,1
24 RIVERSIDE,HYDE PARK,,3/20/14,2
58 DANA,HYDE PARK,,3/27/14,2
225 MARGARETTA,HYDE PARK,,3/31/14,1
22-24 RALDNE,HYDE PARK,,4/11/14,2
22-24 RALDNE,HYDE PARK,,4/16/14,2
46-48 RALDNE,HYDE PARK,,4/22/14,2
1285 HYDE-PARK,HYDE PARK,,4/22/14,1
26 GEORGETOWN,HYDE PARK,,4/25/14,1
26 GEORGETOWN,HYDE PARK,,4/25/14,1
36 CHITTICK,HYDE PARK,,5/2/14,2
W-MILTON,HYDE PARK,AT PINE AVE,5/5/14,2
77 W-MILTON,HYDE PARK,,5/5/14,2
63 HALLRON,HYDE PARK,,5/12/14,2
20 MYOPIA,HYDE PARK,,5/12/14,2
39 NORTON,HYDE PARK,,5/14/14,1
76 CROWN-POINT,HYDE PARK,,5/19/14,2
59 HALLRON,HYDE PARK,,5/23/14,2
HYDE-PARK,HYDE PARK,,5/27/14,2
5 BRADLEE,HYDE PARK,,5/28/14,2
50-52 GEORGETOWN,HYDE PARK,,6/9/14,1
115-117 CLARE,HYDE PARK,,6/20/14,2
464 METROPOLITAN,HYDE PARK,,6/25/14,2
871 HYDE-PARK,HYDE PARK,,7/8/14,2
85 READVILLE,HYDE PARK,,7/11/14,2
544 METROPOLITAN,HYDE PARK,,7/17/14,1
15-17 RALDNE,HYDE PARK,,7/21/14,1
114 CLARE,HYDE PARK,,7/25/14,2
6 CORCORAN,HYDE PARK,,7/26/14,1
40 COMO,HYDE PARK,,8/1/14,2
87 LEWISTON,HYDE PARK,,8/5/14,2
LODGEHILL,HYDE PARK,AT MAGEE ST,8/7/14,2
201 WOOD,HYDE PARK,,8/1/14,1
20 LODGEHILL,HYDE PARK,,8/5/14,2
MAGEE,HYDE PARK,AT LODGE HILL RD,8/5/14,1
762 HYDE-PARK,HYDE PARK,,8/6/14,2
11 AVILA,HYDE PARK,,8/6/14,1
55 ANAFRAN,HYDE PARK,,8/26/14,1
44 CHESTERFIELD,HYDE PARK,,8/27/14,2
42560 LODGEHILL,HYDE PARK,,9/2/14,2
46 MONPONSET,HYDE PARK,,9/5/14,
46 MONPONSET,HYDE PARK,,9/5/14,
GREENBROOK,HYDE PARK,,9/16/14,2
