LEAK_NO,REPORTED_HOUSE_NUMBER REPORTED_STREET,REPORTED_CROSS_STREET,REPORTED_TOWN,REPAIR_NO,REPAIRED_HOUSE_NUMBER,REPAIRED_STREET,REPAIRED_CROSS_STREET,REPAIRED_TOWN,REPORTED_DATE,CLASS_CURRENT,REPAIRED_DATE,LEAK_CAUSE,,,
101709,,MALTA ST,SAMOSET AV,HUL,,,,,,7/18/1996,3,,,,
101768,210 CONCORD RD,,,SUD,,,,,,7/18/1996,3,,,,
101817,91 NEWPORT RD,,,HUL,,,,,,7/23/1996,3,,,,
101854,59 ABINGTON ST,,,HIN,,,,,,7/30/1996,3,,,,
102034,40 WALNUT ST,,,LNF,,,,,,7/22/1996,3,,,,
102872,169 COMMERCIAL ST,,,BRA,,,,,,8/9/1996,3,,,,
102967,,WHITTIER ST,,LNN,,,,,,8/21/1996,3,,,,
102977,19 ABBOTT ST,,,LNN,,,,,,8/26/1996,3,,,,
103050,41 CALLENDER ST,,LAURIAT ST,DOR,,,,,,8/27/1996,3,,,,
103136 89R,,GREEN ST,,ROC,,,,,,8/30/1996,3,,,,
103148,,PEARL ST,,BRA,,,,,,8/15/1996,3,,,,
103160,32 GROVE ST,,,ROC,,,,,,8/15/1996,3,,,,
103161,23 GROVE ST,,,ROC,,,,,,8/15/1996,3,,,,
103165,344 CENTRE AV,,,ROC,,,,,,8/14/1996,3,,,,
103175,80 BEECH ST,,,ROC,,,,,,8/7/1996,3,,,,
103178,292 SPRING ST,,,ROC,,,,,,8/7/1996,3,,,,
103179,214 BEECH ST,,,ROC,,,,,,8/7/1996,3,,,,
103180,354 SPRING ST,,,ROC,,,,,,8/7/1996,3,,,,
103181,41 PIERCE RD,,,ROC,,,,,,8/7/1996,3,,,,
103183,320 LEVIN RD,,,ROC,,,,,,8/7/1996,3,,,,
103276,75 ELM ST,,,WOB,,,,,,8/30/1996,3,,,,
103289,28 CONGRESS ST,,,STO,,,,,,8/29/1996,3,,,,
103515,65 WEBSTER ST,,,ARL,,,,,,8/26/1996,3,,,,
103615,55 W BROADWAY,,,SBO,,,,,,9/4/1996,3,,,,
103643,645 HAMMOND ST,,,BRO,,,,,,9/5/1996,3,,,,
103645,106 CUMMINGS PK,,,WOB,,,,,,9/5/1996,3,,,,
103717,,OXFORD ST,HIGH ST,LNN,,,,,,9/4/1996,3,,,,
103735,265 PARK ST,,,DOR,,,,,,9/5/1996,3,,,,
103783,31 WALNUT ST,,,ARL,,,,,,9/6/1996,3,,,,
103916,,E MAIN ST,,WEB,,,,,,9/6/1996,3,,,,
103933,329 MONTVALE AV,,,WOB,,,,,,9/9/1996,3,,,,
103964,276 CLYDE ST,,,BRO,,,,,,9/6/1996,3,,,,
103965,139 NEWTON ST,,,BRO,,,,,,9/6/1996,3,,,,
103972,88 SANING RD,,,WEY,,,,,,9/10/1996,3,,,,
103975,1745 COMMERCIAL ST,,,WEY,,,,,,9/10/1996,3,,,,
103977,830 NANTASKET AV,,,HUL,,,,,,9/9/1996,3,,,,
103979,6 CUSHING ST,,,HUL,,,,,,9/6/1996,3,,,,
104003,10 SUTTON ST,,,WEY,,,,,,9/11/1996,3,,,,
104011,,ESSEX ST,IVY,BRO,,,,,,9/12/1996,3,,,,
